number,player,position,height,weight,dob,country_birth,experience_years,college
0,Robert Parish,C,7-0,230,"August 30, 1953",us,20,Centenary College of Louisiana
1,Randy Brown,PG,6-2,190,"May 22, 1968",us,5,"Houston, New Mexico State"
6,Matt Steigenga,SF,6-7,225,"March 27, 1970",us,0,Michigan State
7,Toni Kukoč,SF,6-10,192,"September 18, 1968",hr,3,
8,Dickey Simpkins,PF,6-9,248,"April 6, 1972",us,2,Providence
9,Ron Harper,PG,6-6,185,"January 20, 1964",us,10,Miami University
13,Luc Longley,C,7-2,265,"January 19, 1969",au,5,New Mexico
18,Bison Dele,C,6-9,235,"April 6, 1969",us,5,"Maryland, Arizona"
23,Michael Jordan,SG,6-6,195,"February 17, 1963",us,11,UNC
25,Steve Kerr,PG,6-3,175,"September 27, 1965",lb,8,Arizona
30,Jud Buechler,SF,6-6,220,"June 19, 1968",us,6,Arizona
33,Scottie Pippen,SF,6-8,210,"September 25, 1965",us,9,University of Central Arkansas
34,Bill Wennington,C,7-0,245,"April 26, 1963",ca,9,St. John's
35,Jason Caffey,PF,6-8,255,"June 12, 1973",us,1,Alabama
91,Dennis Rodman,PF,6-7,210,"May 13, 1961",us,10,Southeastern Oklahoma State University
